codice_istat,indice_istruzione
2006,24.81
42003,32.47
11002,38.77
1012,34.67
76005,33.39
9007,30.1
75007,39.6
62006,49.38
28006,29.12
84002,36.85
6004,33.07
77002,28.1
82003,24.48
58004,34.06
23053,29.79
63050,46.04
15155,30.82
77018,43.74
83062,28.74
24003,41.48
69001,40.4
46001,30.85
13007,33.75
20002,31.33
95008,26.79
65080,43.25
95034,16.18
64066,34.01
29033,41.24
26051,43.26
104017,42.36
18104,26.92
97060,36.98
91056,29.82
5081,17.86
91059,19.24
15159,47.24
65010,36.25
64006,49.72
65012,29.22
91004,23.73
3002,38.1
42002,51.55
96002,29.44
1011,29.52
12007,34.11
23005,29.3
79008,40.5
80006,33.12
18007,35.82
80003,33.76
83004,30.5
62003,35.58
44005,31.85
65008,31.86
60008,46.64
12004,30.15
90005,20.09
102002,34.66
9044,32.81
74011,31.25
1172,35.5
92118,29.23
69057,40.69
55023,46.08
1174,32.44
8039,39.54
25035,20.22
91070,23.57
33030,24.29
15165,35.13
89014,32.81
65088,39.4
30068,50.41
38001,31.34
29002,25.13
103003,45.45
92002,15.98
40001,36.01
92004,18.24
6011,28.73
28009,43.31
95010,24.36
12008,48.29
4011,34.53
50024,36.01
82052,30.69
103052,28.16
75058,32.36
78089,32.19
22134,29.84
1179,45.73
97064,20.33
16020,29.42
1023,37.65
106002,33.69
97005,33.3
18009,34.7
83006,27.8
30072,47.62
17136,37.09
95041,28.33
30074,35.0
44006,29.15
24007,28.11
17007,27.22
57004,29.51
15011,53.88
5005,39.34
41003,31.88
25005,28.73
64008,60.2
56005,39.71
16022,30.78
41005,33.39
25036,36.07
16160,35.11
99024,32.95
69065,33.55
13019,33.39
4017,20.8
15016,42.64
25006,47.31
87007,36.66
4021,28.81
22012,28.75
6016,44.12
17016,29.38
22013,40.9
54003,39.73
6010,32.68
93005,37.18
103006,32.77
80007,36.16
46002,26.34
19005,29.47
35003,29.3
1018,58.69
2008,22.5
1020,44.54
56004,41.76
48003,42.07
93006,24.9
4012,26.12
76011,44.33
86004,31.03
62007,29.83
8040,29.21
7048,28.23
19069,31.8
24012,44.08
54002,43.37
12010,43.9
1024,35.12
6014,34.89
61007,36.5
57005,34.72
78015,41.08
16023,29.58
72008,41.89
82010,34.76
12015,28.5
15171,53.84
15172,40.17
65094,29.32
41045,28.9
6015,37.03
77003,37.65
30010,30.05
4163,32.73
28062,24.91
78097,52.08
1189,42.66
63053,56.87
16165,28.76
60050,37.55
9049,37.62
70053,29.65
76060,39.02
64073,36.18
25038,33.62
10043,57.2
43038,31.46
90010,33.07
23008,31.3
16026,26.45
50001,38.7
7010,26.98
72010,42.81
80010,36.09
13026,45.23
78018,31.3
67007,26.22
56007,34.29
1026,24.63
98003,36.63
56008,38.68
69006,38.81
16030,33.77
22021,16.58
62009,37.69
90011,28.43
68003,37.18
3022,34.99
82012,32.28
78019,34.68
57006,39.24
8043,27.44
1191,39.74
93030,32.25
30012,30.2
18018,28.47
2017,35.92
28065,35.52
83068,42.68
17143,29.96
69066,31.31
78100,28.37
75061,39.52
57052,44.06
66073,46.86
14051,39.17
1197,33.21
80061,37.83
43041,37.39
4171,27.6
63058,44.61
17147,31.49
26058,34.53
18117,35.17
65099,42.63
4024,26.79
3024,37.21
6019,33.09
9014,29.04
35005,32.97
46004,29.81
17020,25.23
37007,34.17
6133,32.75
16171,27.91
68033,44.54
93033,49.15
5087,33.43
1030,35.41
1032,29.67
17021,30.61
95016,16.22
104007,25.29
4027,30.83
80011,35.07
17025,39.46
60014,28.95
20007,31.83
18021,20.62
6022,30.59
75009,33.76
80012,44.7
65016,37.09
43042,45.71
26060,34.15
26061,33.5
65101,30.56
12017,32.7
17029,45.95
22027,33.45
16036,26.51
13028,33.43
23013,27.02
18023,36.31
4030,42.26
52001,35.54
66001,31.45
65001,30.47
26062,37.01
24082,25.93
30079,37.22
27030,29.34
78001,31.42
19001,28.79
16001,25.77
17002,27.32
1206,25.23
64074,42.83
96050,23.5
22147,34.52
22028,14.41
97010,34.6
18024,37.49
76013,36.08
74001,43.3
76014,34.96
39004,33.43
24017,31.65
58002,41.72
84001,52.52
64001,45.55
104003,21.3
